,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S10-28388_,,,,,,,,,,,,M-S10-28388_1,,,,,,,,,,,,M-S10-28388_2,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,8,1,744,1098,600,1,1,1,744,1098,0,,1,3,1845,378,205,3,1,1,1845,378,0,,3,3,2121,1707,229,3,1,1,2121,1707,0
,8,1,321,1065,689,1,1,1,321,1065,0,,1,3,369,816,203,3,1,1,369,816,0,,3,3,2091,1752,220,3,1,1,2091,1752,0
,8,1,324,1032,732,1,1,1,324,1032,0,,1,3,372,867,202,3,1,1,372,867,0,,3,3,2136,1629,213,3,1,1,2136,1629,0
,8,1,276,1056,461,1,1,1,276,1056,0,,1,3,1860,480,204,3,1,1,1860,480,0,,3,3,2178,1596,207,3,1,1,2178,1596,0
,8,1,213,1029,505,1,1,1,213,1029,0,,2,3,318,444,205,3,1,1,318,444,0,,3,3,2196,1539,210,3,1,1,2196,1539,0
,8,1,909,660,369,1,1,1,909,660,0,,2,3,267,378,201,3,1,1,267,378,0,,3,3,2250,1605,221,3,1,1,2250,1605,0
,8,1,2844,381,1917,1,1,1,2844,381,0,,2,3,417,327,201,3,1,1,417,327,0,,3,3,2229,1662,218,3,1,1,2229,1662,0
,3,2,1023,1503,246,2,1,1,1023,1503,0,,2,3,393,309,202,3,1,1,393,309,0,,3,3,2088,1617,214,3,1,1,2088,1617,0
,3,2,1074,1452,255,2,1,1,1074,1452,0,,2,3,381,249,200,3,1,1,381,249,0,,3,3,2055,1602,220,3,1,1,2055,1602,0
,3,2,1017,1356,244,2,1,1,1017,1356,0,,2,3,381,183,203,3,1,1,381,183,0,,3,3,2037,1698,214,3,1,1,2037,1698,0
,3,2,1053,1260,267,2,1,1,1053,1260,0,,2,3,396,117,204,3,1,1,396,117,0,,3,3,2013,1752,210,3,1,1,2013,1752,0
,3,2,1116,1335,263,2,1,1,1116,1335,0,,2,3,432,39,201,3,1,1,432,39,0,,3,3,1974,1671,215,3,1,1,1974,1671,0
,3,2,1086,1146,275,2,1,1,1086,1146,0,,2,3,714,30,198,3,1,1,714,30,0,,3,3,1956,1749,222,3,1,1,1956,1749,0
,3,2,1098,1092,323,2,1,1,1098,1092,0,,2,3,783,27,205,3,1,1,783,27,0,,3,3,1926,1851,215,3,1,1,1926,1851,0
,3,2,1143,1059,296,2,1,1,1143,1059,0,,2,3,693,117,208,3,1,1,693,117,0,,3,3,1977,1950,220,3,1,1,1977,1950,0
,3,2,1140,969,264,2,1,1,1140,969,0,,2,3,609,168,200,3,1,1,609,168,0,,3,3,1989,1998,218,3,1,1,1989,1998,0
,3,2,1104,1026,259,2,1,1,1104,1026,0,,2,3,531,141,203,3,1,1,531,141,0,,3,3,2076,2034,224,3,1,1,2076,2034,0
,3,2,1215,930,254,2,1,1,1215,930,0,,2,3,531,201,203,3,1,1,531,201,0,,3,3,2007,2076,221,3,1,1,2007,2076,0
,3,2,1179,861,247,2,1,1,1179,861,0,,2,3,477,123,203,3,1,1,477,123,0,,3,3,2028,2118,266,3,1,1,2028,2118,0
